"gvkey","act","bkvlps","cogs","dltt","dp","dv","ebit","gdwl","ppent","revt","xlr","leverage_index","depre_index","saleadmin_index"
2751,14918.9,14.8039,94477.5,1896.1,244.6,253.1,1383.5,2205.4,1468.8,98502.8,26324,0.12709382058999,0.142757091163768,0.267241134262173
2771,1016.9,21.9697,1911.3,405.1,71.9,40.6,223.4,667.1,533.4,2527.7,982.3,0.398367587766742,0.118784074012886,0.388614155160818
2787,820.2,13.0416,994.8,259.6,59,31.9,11.7,35.2,617.5,1198.6,578.753,0.316508168739332,0.0872135994087214,0.482857500417153
2802,24.49,0.2802,472.842,6830,1.928,0,90.241,4091.307,726.671,1814.8,16.003,278.889342588812,0.00264617437026403,0.00881805157593123
2807,1681.344,12.9114,3807.909,1108.965,358.572,0,118.882,178.8,1688.154,3712,2505.69,0.659570557839443,0.175192966718554,0.675024245689655
2811,311.022,13.637,700.854,61.127,20.649,0,-9.338,50.11,76.715,943.706,854.92,0.19653593636463,0.212080440409186,0.90591773285324
2812,1898.255,8.9398,6088.625,1564.325,114.239,0,190.884,407.247,943.03,6892.614,4117,0.824085805121019,0.108051025803272,0.597306043831847
2817,31810,16.9437,28779,20437,2278,1084,5378,2614,12539,42588,9187,0.642470921093996,0.153742323007356,0.21571804264112
2818,302.525,26.9511,36.067,21,1.383,7.378,-12.142,22.097,14.833,25.954,86.5,0.0694157507643996,0.0852861371484953,3.33281960391462
2820,650.718,22.6428,177.213,26.9,37.906,0,190.972,0,159.807,578.454,357.502,0.0413389517425367,0.191722345015249,0.618030128584123
2829,17.533,5.7707,7.697,0,0.214,0.084,2.422,0,0.53,16.322,854.92,0,0.287634408602151,52.378385001838
2859,608.85,21.7622,741.122,1399.709,112.203,59.034,295.341,197.808,2784.225,1148.666,238.169,2.29893898332923,0.0387384046832858,0.207343997297735
2870,91.12,20.4428,299.355,191.771,17.57,11.712,25,122.512,371.493,341.925,238.169,2.10459833187006,0.045159781320763,0.69655333772026
2884,1143.129,31.6152,2365.668,7316.004,1433.553,878.005,2183.007,10260.64,8754.476,7041.534,99.138,6.39998110449477,0.140709552357968,0.0140790344831112
2888,466.624,26.3913,259.002,85.599,36.076,0,34.228,43.219,243.681,402.938,18.569,0.183443200521191,0.128954771462376,0.0460840129250654
2911,43.754,13.0918,6.189,122.51,60,45.5,-11.105,0,904.8,33.501,131.519,2.7999725739361,0.0621890547263682,3.92582310975792
2938,142.457,2.6123,2.398,350,2.739,1.073,12.531,9.799,151.499,173.395,92.3,2.45688172571372,0.0177582696871069,0.5323106202601
